,model,outcome,fold,accuracy,precision,recall,f1-score,support
0,glove-twitter-200,political,0,0.803448275862069,0.8235294117647058,0.7724137931034483,0.797153024911032,290.0
1,glove-twitter-200,political,1,0.7913793103448276,0.8072727272727273,0.7655172413793103,0.7858407079646017,290.0
2,glove-twitter-200,political,2,0.7982758620689655,0.8168498168498168,0.7689655172413793,0.792184724689165,290.0
3,glove-twitter-200,political,3,0.7982758620689655,0.8078291814946619,0.7827586206896552,0.7950963222416814,290.0
4,glove-twitter-200,political,4,0.7965517241379311,0.8208955223880597,0.7586206896551724,0.7885304659498207,290.0
5,distilbert-base-uncased,political,0,0.8568965517241379,0.8581314878892734,0.8551724137931035,0.856649395509499,290.0
6,distilbert-base-uncased,political,1,0.8879310344827587,0.8762541806020067,0.903448275862069,0.8896434634974533,290.0
7,distilbert-base-uncased,political,2,0.8672413793103448,0.8710801393728222,0.8620689655172413,0.8665511265164645,290.0
8,distilbert-base-uncased,political,3,0.8862068965517241,0.8888888888888888,0.8827586206896552,0.8858131487889273,290.0
9,distilbert-base-uncased,political,4,0.8706896551724138,0.8694158075601375,0.8724137931034482,0.8709122203098107,290.0
10,glove-twitter-200,exemplar,0,0.746551724137931,0.54,0.34838709677419355,0.4235294117647059,155.0
11,glove-twitter-200,exemplar,1,0.7810344827586206,0.6346153846153846,0.4258064516129032,0.5096525096525096,155.0
12,glove-twitter-200,exemplar,2,0.7396551724137931,0.5148514851485149,0.33766233766233766,0.40784313725490196,154.0
13,glove-twitter-200,exemplar,3,0.7517241379310344,0.5543478260869565,0.33116883116883117,0.4146341463414634,154.0
14,glove-twitter-200,exemplar,4,0.7655172413793103,0.6097560975609756,0.3246753246753247,0.423728813559322,154.0
15,distilbert-base-uncased,exemplar,0,0.8155172413793104,0.6714285714285714,0.6064516129032258,0.6372881355932204,155.0
16,distilbert-base-uncased,exemplar,1,0.8172413793103448,0.6644295302013423,0.6387096774193548,0.6513157894736842,155.0
17,distilbert-base-uncased,exemplar,2,0.803448275862069,0.6388888888888888,0.5974025974025974,0.6174496644295301,154.0
18,distilbert-base-uncased,exemplar,3,0.8379310344827586,0.7459016393442623,0.5909090909090909,0.6594202898550726,154.0
19,distilbert-base-uncased,exemplar,4,0.8396551724137931,0.7194244604316546,0.6493506493506493,0.68259385665529,154.0
